CD_UNID;NOME_UNID;CS_TT_MAQUINA;DESCR_MAQUINA;CD_MAQUINA;CD_SETORMANUT;DESCR_SETORMANUT;CD_PRIOMAQUTV;NRO_PATRIMONIO;CD_MODELO;CD_GRUPO;CD_TPCENTATIV;DESCR_GERENC
92;FRIG. AURORA CASTRO;4228;SELADORA A VACUO SAV 180 MONTEMIL - SISITEMA DE SEGIRANÇA;5485;CUR;SETOR EMB CURADOS             ;6;258856;9999;33000;5525;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SELADORA A VACUO SAV 180 MONTEMIL - SISITEMA ELETRICO;5484;CUR;SETOR EMB CURADOS             ;6;258856;9999;33000;5525;MÁQUINAS SECUNDÁRIAS
92;FRIG. AURORA CASTRO;4228;SELADORA CONTINUA CAIXAS CONG. SEMIL (SEL1701000017);99986360;TCA;SETOR TUNEIS E CAMARAS        ;6;;9999;33000;2313;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SELADORA CONTINUA CONG MONTEMIL MTSC1100 (SEL1701000007);99986359;TCA;SETOR TUNEIS E CAMARAS        ;6;;9999;33000;2313;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SELADORA MANUAL  BALENA 04 DEBOFLEX ESQUERDA (SEL1701000005);99986268;EPJ;SETOR DE ESPOSTEJAMENTO       ;6;;9999;33000;2224;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SELADORA VACUO SHD 2-84 SELOVAC (SEL1701000004);99986051;SFR;SETOR EMBUTIDOS FRESCAIS      ;6;;9999;33000;4057;MÁQUINAS PRINCIPAL
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;4563;MIN;MIUDOS INTERNOS               ;1;0;2;12;2721;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994824;MEL;SETOR ENG E MANUT. ELETRICA   ;1;0;1;12;1163;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994823;MEL;SETOR ENG E MANUT. ELETRICA   ;1;0;1;12;1163;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994529;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994528;PRU;SETOR DE PRESUNTARIA          ;1;0;2;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994527;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994526;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
